Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Middle East & North Africa (excluding high income),MNA,..,..,9.545523246,10.18705064,10.68704068,10.78685861,10.94822199,11.10705675,11.69397443,12.37381801,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,9.545523246,10.18705064,10.68704068,10.78685861,10.94822199,11.10705675,11.69397443,12.37381801,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Middle income,MIC,..,..,7.93731182,7.696142928,7.387386935,7.303909728,7.782790163,8.446245684,9.065469668,9.233221475,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,North America,NAC,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,OECD members,OED,..,..,2.743865343,2.723771614,2.716941153,2.685765261,2.69013833,2.673062758,2.695090436,2.70580947,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Other small states,OSS,..,..,8.650789444,8.623926159,8.513050186,8.25854807,8.185069307,8.262981416,8.491491565,8.642056679,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Pacific island small states,PSS,..,..,10.00570227,10.10860789,9.970938338,9.679274551,9.734541497,10.41587764,10.98105856,11.20789369,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Post-demographic dividend,PST,..,..,2.535383783,2.535770958,2.535038863,2.537146071,2.589088788,2.624311814,2.695895483,2.728370482,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Pre-demographic dividend,PRE,..,..,19.22784514,19.77747815,20.11413299,20.09992084,20.70013003,21.43160087,22.43674108,23.21952513,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Small states,SST,..,..,8.43540264,8.413009923,8.295091197,8.034220711,7.974458748,8.14981071,8.41713954,8.562465253,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,South Asia,SAS,..,..,12.37048038,11.71991416,10.84950503,10.67437936,11.86160575,13.42606099,14.49659081,14.54310247,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,South Asia (IDA & IBRD),TSA,..,..,12.37048038,11.71991416,10.84950503,10.67437936,11.86160575,13.42606099,14.49659081,14.54310247,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Sub-Saharan Africa,SSF,..,..,18.17345701,18.59626047,18.97207427,19.18873508,19.9681299,20.75645338,21.62961244,22.14003361,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Sub-Saharan Africa (excluding high income),SSA,..,..,18.17479532,18.59766563,18.97352913,19.19021111,19.96966703,20.75801776,21.63122351,22.14198219,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,18.17345701,18.59626047,18.97207427,19.18873508,19.9681299,20.75645338,21.62961244,22.14003361,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Upper middle income,UMC,..,..,3.888067245,3.838844457,3.780302872,3.759180217,3.803777807,3.871729254,4.023187953,4.044441717,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,World,WLD,..,..,7.5,7.5,7.3,7.3,7.8,8.3,8.9,9.1,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,,,,,,,
